update,theta
805,0.6716861128807068
806,0.6718952655792236
807,0.6721041202545166
808,0.6723126769065857
809,0.6725209355354309
810,0.6727288961410522
811,0.6729365587234497
812,0.6731439232826233
813,0.673350989818573
814,0.673557698726654
815,0.6737641096115112
816,0.6739702224731445
817,0.674176037311554
818,0.6743815541267395
819,0.6745867729187012
820,0.674791693687439
821,0.6749963164329529
822,0.6752006411552429
823,0.6754046678543091
824,0.6756083965301514
825,0.6758118271827698
826,0.6760149598121643
827,0.676217794418335
828,0.6764203310012817
829,0.6766225695610046
830,0.6768245100975037
831,0.6770261526107788
832,0.6772274971008301
833,0.6774285435676575
834,0.677629292011261
835,0.6778297424316406
836,0.6780298948287964
837,0.678229808807373
838,0.6784294247627258
839,0.6786287426948547
840,0.6788277626037598
841,0.6790264844894409
842,0.6792249083518982
843,0.6794230341911316
844,0.6796208620071411
845,0.6798183917999268
846,0.6800156831741333
847,0.680212676525116
848,0.6804093718528748
849,0.6806057691574097
850,0.6808018684387207
851,0.6809977293014526
852,0.6811932921409607
853,0.6813885569572449
854,0.6815835237503052
855,0.6817781925201416
856,0.6819726228713989
857,0.6821667551994324
858,0.6823605895042419
859,0.6825541257858276
860,0.6827474236488342
861,0.6829404234886169
862,0.6831331253051758
863,0.6833255290985107
864,0.6835176944732666
865,0.6837095618247986
866,0.6839011311531067
867,0.6840924620628357
868,0.6842834949493408
869,0.6844742298126221
870,0.6846647262573242
871,0.6848549246788025
872,0.6850448250770569
873,0.6852344870567322
874,0.6854238510131836
875,0.6856129169464111
876,0.6858017444610596
877,0.6859902739524841
878,0.6861785054206848
879,0.6863664984703064
880,0.6865541934967041
881,0.6867416501045227
882,0.6869288086891174
883,0.6871157288551331
884,0.6873023509979248
885,0.6874886751174927
886,0.6876747608184814
887,0.6878605484962463
888,0.6880460977554321
889,0.688231348991394
890,0.6884163618087769
891,0.6886010766029358
892,0.6887855529785156
893,0.6889697313308716
894,0.6891536712646484
895,0.6893373131752014
896,0.6895207166671753
897,0.6897038221359253
898,0.6898866891860962
899,0.6900692582130432
900,0.6902515888214111
901,0.6904336214065552
902,0.6906154155731201
903,0.6907969117164612
904,0.6909781694412231
905,0.691159188747406
906,0.691339910030365
907,0.6915203928947449
908,0.6917005777359009
909,0.6918805241584778
910,0.6920601725578308
911,0.6922395825386047
912,0.6924187541007996
913,0.6925976276397705
914,0.6927762627601624
